0.00	1.60	N
1.60	4.20	F#:maj
4.20	7.80	B:min
7.80	11.50	A:maj
11.50	14.30	E:min
14.30	19.70	G:maj
19.70	25.60	E:min
25.60	27.70	D:maj
27.70	29.40	E:min
29.40	31.00	A:maj
31.00	32.70	D:maj
32.70	34.10	B:min
34.10	35.50	G:maj
35.50	37.80	A:maj
37.80	38.50	G:maj
38.50	43.60	E:min
43.60	48.00	N
48.00	50.20	G:maj
50.20	51.90	N
51.90	54.10	G:maj
54.10	56.50	F:maj
56.50	60.20	C:maj
60.20	62.50	G:maj
62.50	64.80	F:maj
64.80	67.00	C:maj
67.00	68.40	D:min
68.40	70.70	G:maj
70.70	72.70	F:maj
72.70	75.20	G:maj
75.20	76.10	N
76.10	76.90	C:maj
76.90	79.10	G:maj
79.10	81.30	F:maj
81.30	82.80	C:maj
82.80	89.90	N
