0.00	13.90	N
13.90	16.80	D:maj
16.80	18.10	N
18.10	23.90	D:maj
23.90	27.40	N
27.40	29.50	F:maj
29.50	31.60	N
31.60	32.80	F:maj
32.80	34.30	N
34.30	39.90	D:min
39.90	42.30	A#:maj
42.30	44.80	E:maj
44.80	46.30	G:maj
46.30	48.70	G:min
48.70	52.30	G:maj
52.30	53.20	A:maj
53.20	55.10	A#:maj
55.10	56.00	C:maj
56.00	56.60	D:min
56.60	59.80	D:maj
59.80	63.40	F:maj
63.40	64.30	G:maj
64.30	67.40	G:min
67.40	68.10	G:maj
68.10	72.30	A:maj
72.30	75.60	A#:maj
75.60	82.90	N
82.90	83.40	A#:maj
83.40	84.30	A:maj
84.30	94.90	N
