0.00	0.80	N
0.80	2.00	G:maj
2.00	3.40	C:maj
3.40	6.40	A#:maj
6.40	7.20	C#:maj
7.20	7.80	D:min
7.80	8.40	E:min
8.40	9.20	D:maj
9.20	9.90	D:min
9.90	10.70	F:maj
10.70	15.60	D:maj
15.60	17.80	C#:min
17.80	21.70	C#:maj
21.70	23.00	C#:min
23.00	26.10	F#:maj
26.10	34.60	C#:min
34.60	36.30	G#:min
36.30	38.00	A:maj
38.00	39.10	E:maj
39.10	41.90	C#:min
41.90	43.10	G#:min
43.10	45.40	G#:maj
45.40	46.50	E:maj
46.50	47.10	C#:min
47.10	50.10	G#:min
50.10	51.40	C#:min
51.40	52.40	F#:maj
52.40	53.50	E:maj
53.50	54.30	G#:min
54.30	55.90	G#:maj
55.90	56.60	E:maj
56.60	60.40	G#:min
60.40	61.30	C#:maj
61.30	62.40	G#:min
62.40	64.20	G#:maj
64.20	67.30	C#:maj
67.30	69.60	A#:maj
69.60	70.80	N
70.80	73.20	G#:min
73.20	76.90	F#:maj
76.90	82.50	G#:maj
82.50	85.10	N
85.10	87.40	A:maj
87.40	90.20	N
90.20	93.20	A:min
93.20	96.70	F:maj
96.70	98.00	N
98.00	100.90	F:maj
100.90	103.80	A#:min
103.80	105.30	F#:maj
105.30	106.20	D#:maj
106.20	107.00	D:maj
107.00	110.40	B:min
110.40	114.40	D:maj
114.40	118.10	N
118.10	122.70	B:min
122.70	123.30	D:maj
123.30	132.50	N
132.50	139.80	B:min
139.80	141.20	G:maj
141.20	144.70	N
144.70	151.70	B:maj
151.70	164.00	E:min
164.00	165.00	N
165.00	165.70	E:min
165.70	171.10	C:maj
171.10	177.90	E:min
