0.00	3.70	N
3.70	4.90	D#:maj
4.90	5.70	B:maj
5.70	8.80	A:maj
8.80	10.80	A:min
10.80	12.80	A:maj
12.80	14.80	A:min
14.80	17.00	F:maj
17.00	18.30	N
18.30	20.00	F:maj
20.00	21.10	N
21.10	23.60	F:maj
23.60	27.60	N
27.60	28.50	F:maj
28.50	29.40	A:min
29.40	31.20	N
31.20	34.10	A#:min
34.10	35.90	C#:min
35.90	38.00	G:min
38.00	40.40	C#:min
40.40	42.00	A:maj
42.00	43.50	D:min
43.50	44.30	N
44.30	50.80	A:maj
50.80	51.90	F#:min
51.90	52.50	E:min
52.50	53.00	F:maj
53.00	54.90	A#:maj
54.90	56.20	A:maj
56.20	57.10	N
57.10	59.50	A:maj
59.50	60.40	C:maj
60.40	63.30	A:maj
63.30	65.00	A:min
65.00	67.50	N
67.50	68.00	C#:min
68.00	68.90	A:maj
68.90	72.70	A:min
72.70	73.70	F:maj
73.70	74.60	G:maj
74.60	77.30	N
77.30	78.90	D#:min
78.90	82.40	N
82.40	84.20	D:maj
84.20	85.50	G:min
85.50	86.60	F:maj
86.60	88.40	A:maj
88.40	90.60	C#:maj
90.60	101.10	C:maj
101.10	102.50	F:min
102.50	104.00	E:maj
104.00	106.40	A:maj
106.40	111.40	E:maj
111.40	124.40	N
124.40	129.60	C:maj
129.60	131.70	G#:maj
131.70	132.70	N
132.70	133.80	G#:maj
133.80	135.90	N
135.90	137.60	G:maj
137.60	139.40	C#:maj
139.40	140.70	N
140.70	141.40	G#:maj
141.40	143.50	C:min
143.50	150.90	N
150.90	151.70	F:min
151.70	154.60	G#:maj
154.60	155.30	C#:maj
155.30	157.10	F:min
157.10	159.00	C#:maj
159.00	161.50	F:min
161.50	164.70	A#:maj
164.70	170.40	F#:maj
170.40	178.40	C:maj
178.40	180.60	A:min
180.60	181.90	N
181.90	183.30	A:min
183.30	185.90	A:maj
185.90	192.80	A:min
192.80	193.80	A:maj
193.80	194.60	B:min
194.60	195.70	A:maj
195.70	196.70	D:maj
196.70	197.60	A:min
197.60	202.00	A:maj
202.00	203.00	D:maj
203.00	203.90	N
203.90	207.20	A:min
207.20	208.40	E:maj
208.40	209.40	A:maj
209.40	210.90	F:maj
210.90	211.80	E:maj
211.80	213.50	F:maj
213.50	214.70	D:maj
214.70	215.80	F:maj
215.80	217.10	E:maj
217.10	221.20	C:maj
221.20	224.40	G#:maj
224.40	226.80	C:maj
226.80	232.30	C:min
232.30	233.30	F:min
233.30	236.90	C:min
236.90	240.40	G#:maj
240.40	249.00	G:min
249.00	253.50	D#:maj
253.50	255.20	N
255.20	256.70	A:maj
256.70	258.50	F:maj
258.50	260.10	N
260.10	262.50	D:maj
262.50	263.70	F#:maj
263.70	267.10	D:maj
267.10	269.70	D#:maj
269.70	270.60	A#:maj
270.60	272.00	D:maj
272.00	273.40	D#:maj
273.40	274.20	G:min
274.20	276.60	D:maj
276.60	278.00	A:maj
278.00	279.40	A#:maj
279.40	281.40	F:maj
281.40	285.10	A:maj
285.10	288.50	A#:maj
288.50	290.50	C:maj
290.50	292.10	G:min
292.10	293.10	E:min
293.10	294.20	C:maj
294.20	295.60	E:maj
295.60	299.50	E:min
