0.00	9.90	N
9.90	11.30	D:maj
11.30	16.20	N
16.20	17.80	F#:min
17.80	18.80	N
18.80	22.70	C:maj
22.70	26.70	N
26.70	28.60	A#:maj
28.60	35.80	N
35.80	37.40	D#:maj
37.40	43.50	N
43.50	47.40	D#:maj
47.40	50.20	D:min
50.20	53.20	G:min
53.20	56.20	C:min
56.20	60.10	F:maj
60.10	69.60	N
69.60	71.60	A#:maj
71.60	72.80	F:maj
72.80	84.20	N
84.20	86.20	A#:maj
86.20	89.20	N
89.20	90.60	A#:maj
90.60	107.90	N
107.90	112.20	G#:maj
112.20	116.50	A#:maj
116.50	124.70	N
124.70	126.10	A#:maj
126.10	136.60	N
136.60	142.00	A#:maj
142.00	145.20	F:maj
145.20	158.40	N
158.40	160.40	A#:maj
160.40	172.60	N
172.60	173.80	A#:maj
173.80	175.60	N
175.60	176.90	A#:maj
176.90	197.70	N
197.70	200.40	D:maj
200.40	211.20	N
